customerID,tenure,Contract,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,Churn_Probability,Risk_Level
9497-QCMMS,1,Month-to-month,Fiber optic,Electronic check,93.55,93.55,0.9470548661716222,High Risk
6894-LFHLY,1,Month-to-month,Fiber optic,Electronic check,75.75,75.75,0.9468201969960487,High Risk
9300-AGZNL,1,Month-to-month,Fiber optic,Electronic check,94.0,94.0,0.9443354182320495,High Risk
4988-IQIGL,1,Month-to-month,Fiber optic,Electronic check,75.35,75.35,0.934165942543785,High Risk
4910-GMJOT,1,Month-to-month,Fiber optic,Electronic check,94.6,94.6,0.9297716776005099,High Risk
2636-ALXXZ,1,Month-to-month,Fiber optic,Electronic check,69.6,69.6,0.9266443552266694,High Risk
8149-RSOUN,1,Month-to-month,Fiber optic,Electronic check,93.85,93.85,0.925993286481815,High Risk
7439-DKZTW,1,Month-to-month,Fiber optic,Electronic check,80.55,80.55,0.9256679690014316,High Risk
5192-EBGOV,1,Month-to-month,Fiber optic,Electronic check,85.7,85.7,0.9251066600925788,High Risk
0295-PPHDO,1,Month-to-month,Fiber optic,Electronic check,95.45,95.45,0.9247866469211651,High Risk
7577-SWIFR,1,Month-to-month,Fiber optic,Electronic check,89.25,89.25,0.924270095990286,High Risk
7216-EWTRS,1,Month-to-month,Fiber optic,Electronic check,100.8,100.8,0.9239315702262053,High Risk
0679-IDSTG,1,Month-to-month,Fiber optic,Electronic check,69.25,69.25,0.9237558240340398,High Risk
6567-HOOPW,1,Month-to-month,Fiber optic,Electronic check,79.2,79.2,0.9233253715524756,High Risk
9728-FTTVZ,1,Month-to-month,Fiber optic,Electronic check,69.2,69.2,0.9195333670333011,High Risk
1452-VOQCH,1,Month-to-month,Fiber optic,Electronic check,75.1,75.1,0.9183377635072018,High Risk
5419-JPRRN,1,Month-to-month,Fiber optic,Electronic check,101.45,101.45,0.9163467270965003,High Risk
3428-XZMAZ,1,Month-to-month,Fiber optic,Electronic check,69.35,69.35,0.9120723596891607,High Risk
0488-GSLFR,1,Month-to-month,Fiber optic,Electronic check,69.5,69.5,0.9114859536188107,High Risk
2545-EBUPK,2,Month-to-month,Fiber optic,Electronic check,84.05,186.05,0.9109199978292173,High Risk
